country,year,pop,continent,lifeExp,gdpPercap,co2Percap,regime
Afghanistan,1952,7987783,Asia,49.7,1846.70542,0.012,1. Closed autocracy
Afghanistan,1957,8588335,Asia,51.4,2072.50459,0.034,1. Closed autocracy
Afghanistan,1962,9404406,Asia,52.9,2293.42252,0.074,1. Closed autocracy
Afghanistan,1967,10505959,Asia,54.1,2395.48053,0.123,1. Closed autocracy
Afghanistan,1972,11853696,Asia,55.2,2011.68454,0.13,1. Closed autocracy
Afghanistan,1977,13340756,Asia,55.9,2174.25243,0.181,1. Closed autocracy
Afghanistan,1982,10991378,Asia,50.5,2877.34176,0.163,1. Closed autocracy
Afghanistan,1987,11387818,Asia,50.3,2921.86758,0.269,1. Closed autocracy
Afghanistan,1992,13278974,Asia,59.2,2168.64015,0.095,1. Closed autocracy
Afghanistan,1997,18452091,Asia,60.6,1562.46326,0.056,1. Closed autocracy
Afghanistan,2002,21378117,Asia,62.1,1673.64821,0.047,1. Closed autocracy
Afghanistan,2007,25909852,Asia,64.3,2132.60481,0.084,2. Electoral autocracy
Afghanistan,2012,30560034,Asia,66.3,2985.31914,0.345,2. Electoral autocracy
Afghanistan,2017,35688935,Asia,66.6,2952.99892,0.247,2. Electoral autocracy
Afghanistan,2022,40578842,Asia,68,1981.71017,0.284,1. Closed autocracy
Albania,1952,1308360,Europe,56.2,2142.66697,0.284,1. Closed autocracy
Albania,1957,1497956,Europe,59.7,2559.1456,1.005,1. Closed autocracy
Albania,1962,1743733,Europe,62.8,2999.27267,1.418,1. Closed autocracy
Albania,1967,2008521,Europe,65.6,3524.09874,1.321,1. Closed autocracy
Albania,1972,2289265,Europe,68.1,4075.70634,2.132,1. Closed autocracy
Albania,1977,2566599,Europe,70.5,4309.12542,1.233,1. Closed autocracy
Albania,1982,2846907,Europe,71.5,4951.07187,1.631,1. Closed autocracy
Albania,1987,3148838,Europe,71.7,5366.35653,1.609,1. Closed autocracy
Albania,1992,3282501,Europe,72.5,3769.75645,0.877,2. Electoral autocracy
Albania,1997,3229660,Europe,72.2,4898.67228,0.68,2. Electoral autocracy
Albania,2002,3134092,Europe,75.6,7578.61364,1.624,2. Electoral autocracy
Albania,2007,3022887,Europe,77.4,10272.64516,2,3. Electoral democracy
Albania,2012,2910004,Europe,78.4,12292.29683,2.367,3. Electoral democracy
Albania,2017,2898242,Europe,78.8,14155.03975,2.127,3. Electoral democracy
Albania,2022,2827608,Europe,78.7,17111.95393,2.103,3. Electoral democracy
Algeria,1952,9521207,Africa,37.3,3073.73804,0.424,1. Closed autocracy
Algeria,1957,10717501,Africa,37.8,3859.94946,0.541,1. Closed autocracy
Algeria,1962,11800771,Africa,41.4,3210.70758,0.488,2. Electoral autocracy
Algeria,1967,12876118,Africa,48.2,4257.66176,0.636,1. Closed autocracy
Algeria,1972,14427072,Africa,52.2,5536.87644,1.854,1. Closed autocracy
Algeria,1977,17015994,Africa,56.9,6553.95899,2.382,1. Closed autocracy
Algeria,1982,19872348,Africa,62.1,8315.72291,1.917,1. Closed autocracy
Algeria,1987,23443624,Africa,66.8,9299.41344,3.531,1. Closed autocracy
Algeria,1992,26628568,Africa,69.3,9755.45558,2.958,1. Closed autocracy
Algeria,1997,29579301,Africa,71.1,10043.73117,2.928,2. Electoral autocracy
Algeria,2002,31750835,Africa,72.8,11995.66873,2.809,2. Electoral autocracy
Algeria,2007,34189416,Africa,74.1,14137.48114,3.175,2. Electoral autocracy
Algeria,2012,37646166,Africa,74.8,14697.53961,3.43,2. Electoral autocracy
Algeria,2017,41689299,Africa,75.3,15427.66419,3.56,2. Electoral autocracy
Algeria,2022,45477389,Africa,75.7,14782.2003,3.88,2. Electoral autocracy
Andorra,1952,5455,Europe,70.6,11430.41301,3.048,NA
Andorra,1957,7399,Europe,72.1,17218.38868,3.549,NA
Andorra,1962,11086,Europe,73.4,25936.32189,3.828,NA
Andorra,1967,15837,Europe,74.6,39061.65645,4.767,NA
Andorra,1972,22957,Europe,75.8,51475.84142,6.032,NA
Andorra,1977,31097,Europe,77.1,52494.84599,6.698,NA
Andorra,1982,38764,Europe,78,47146.32285,6.855,NA
Andorra,1987,47653,Europe,78.9,44911.14733,7.332,NA
Andorra,1992,60200,Europe,79.7,42769.13623,6.913,NA
Andorra,1997,64700,Europe,80.4,47928.86102,7.241,NA
Andorra,2002,66506,Europe,81.4,58701.07662,7.591,NA
Andorra,2007,81877,Europe,82.5,65192.704,6.52,NA
Andorra,2012,76834,Europe,83.1,58172.13239,5.917,NA
Andorra,2017,73763,Europe,83.7,63239.65777,6.268,NA
Andorra,2022,79705,Europe,83.2,63913.38351,5.909,NA
Angola,1952,4651688,Africa,41.2,2662.80365,0.066,1. Closed autocracy
Angola,1957,4980642,Africa,41.6,3053.08099,0.119,1. Closed autocracy
Angola,1962,5354310,Africa,40.7,3591.11662,0.21,1. Closed autocracy
Angola,1967,5641807,Africa,42,4899.61582,0.172,1. Closed autocracy
Angola,1972,6174262,Africa,43.8,5200.84498,0.721,1. Closed autocracy
Angola,1977,7317829,Africa,45.5,3779.39869,0.469,1. Closed autocracy
Angola,1982,8751648,Africa,47,3796.44411,0.518,1. Closed autocracy
Angola,1987,10497858,Africa,48.2,4325.11914,0.542,1. Closed autocracy
Angola,1992,12423712,Africa,50.5,4750.38909,0.408,1. Closed autocracy
Angola,1997,14660413,Africa,53.1,5012.3417,0.494,1. Closed autocracy
Angola,2002,17327699,Africa,55.1,6149.13438,0.72,1. Closed autocracy
Angola,2007,20778561,Africa,58.3,9191.41108,1.196,1. Closed autocracy
Angola,2012,25177394,Africa,61.1,10051.33991,1.347,2. Electoral autocracy
Angola,2017,30234839,Africa,63.3,9042.11713,1.145,2. Electoral autocracy
Angola,2022,35635029,Africa,64,7397.48643,1.225,2. Electoral autocracy
Antigua and Barbuda,1952,47397,Americas,59.9,4407.42731,0.346,NA
Antigua and Barbuda,1957,52404,Americas,61.4,4769.3629,0.428,NA
Antigua and Barbuda,1962,57336,Americas,64.3,5261.67186,1.838,NA
Antigua and Barbuda,1967,61837,Americas,66.9,5967.87642,9.221,NA
Antigua and Barbuda,1972,64615,Americas,69.1,7213.01892,5.832,NA
Antigua and Barbuda,1977,63862,Americas,69.9,7183.95709,7.492,NA
Antigua and Barbuda,1982,64785,Americas,71.5,9930.73403,4.748,NA
Antigua and Barbuda,1987,63946,Americas,72.7,17165.30679,4.457,NA
Antigua and Barbuda,1992,64404,Americas,73.6,21842.33061,4.096,NA
Antigua and Barbuda,1997,71053,Americas,73.1,23718.08067,4.296,NA
Antigua and Barbuda,2002,77032,Americas,75.5,24170.76163,4.73,NA
Antigua and Barbuda,2007,81704,Americas,76.7,33336.85979,5.586,NA
Antigua and Barbuda,2012,87260,Americas,77.7,25592.90661,5.8,NA
Antigua and Barbuda,2017,90468,Americas,77.6,27199.19524,5.892,NA
Antigua and Barbuda,2022,92840,Americas,77.3,27941.78515,5.939,NA
Argentina,1952,17698877,Americas,64,9868.09147,2.036,2. Electoral autocracy
Argentina,1957,19383035,Americas,64.4,11247.79784,2.447,2. Electoral autocracy
Argentina,1962,21072538,Americas,65.6,11708.28055,2.538,2. Electoral autocracy
Argentina,1967,22799059,Americas,66.4,12906.73567,2.872,1. Closed autocracy
Argentina,1972,24644328,Americas,67,15071.47425,3.672,1. Closed autocracy
Argentina,1977,26701805,Americas,67.8,16054.2759,3.829,1. Closed autocracy
Argentina,1982,28924262,Americas,71.1,15269.40746,3.376,1. Closed autocracy
Argentina,1987,31291762,Americas,71.9,16972.8647,3.182,3. Electoral democracy
Argentina,1992,33693527,Americas,72.6,18628.77055,3.785,3. Electoral democracy
Argentina,1997,35947791,Americas,73.6,22475.89726,3.985,3. Electoral democracy
Argentina,2002,38029349,Americas,74.3,18277.79656,2.157,3. Electoral democracy
Argentina,2007,40016763,Americas,75.1,26716.74246,3.903,3. Electoral democracy
Argentina,2012,42161721,Americas,76.1,28825.96669,4.5,3. Electoral democracy
Argentina,2017,44288894,Americas,76.9,28334.90418,4.313,3. Electoral democracy
Argentina,2022,45407904,Americas,76.3,27627.96348,3.847,3. Electoral democracy
Armenia,1952,1454107,Asia,59.1,4922.44558,0.969,1. Closed autocracy
Armenia,1957,1684134,Asia,59.9,6028.58368,1.286,1. Closed autocracy
Armenia,1962,1991689,Asia,62.7,6912.28309,3.886,1. Closed autocracy
Armenia,1967,2307492,Asia,65.8,8013.62382,4.39,1. Closed autocracy
Armenia,1972,2577079,Asia,67.7,8697.58615,4.077,1. Closed autocracy
Armenia,1977,2912827,Asia,69.2,8570.31548,2.437,1. Closed autocracy
Armenia,1982,3163144,Asia,71.3,8383.89366,1.667,1. Closed autocracy
Armenia,1987,3328520,Asia,71.4,7933.90904,1.745,1. Closed autocracy
Armenia,1992,3571861,Asia,69.4,3749.21414,1.025,3. Electoral democracy
