me,me_eng,symbol,type_eng,type,population,socio_economic_rank,peripherality_rank,distance_tlv,district_eng,district,class_size,bagrut,teacher_student_ratio,income,percent_arab,diabetes,cancer_men,cancer_women,voting_rate_knesset_2021,voting_rate_knesset_2022,voting_rate_municipalities_2024,budget_income,budget_income_per_resident,arno_tax_collection_rate
אום אל-פחם,Umm alFahm,2710,municipality,עירייה,59319,2,5,60.6,Haifa,חיפה,27,72.4,10.4,7718,99.9,123.0,313.0,219.1,33.1,38.3,51.0,,,
אופקים,Ofaqim,31,municipality,עירייה,37838,3,3,87.1,South,הדרום,26,50.0,10.2,9597,1.1,74.8,343.1,353.7,61,68.6,60.2,"300,789","7,949",49
אור יהודה,Or Yehuda,2400,municipality,עירייה,40144,5,8,0,Tel Aviv,תל אביב,25,83.9,11.0,10943,0.3,72.6,306.0,275.1,66.8,72.4,56.0,"419,974","10,462",93
אור עקיבא,Or Aqiva,1020,municipality,עירייה,24203,5,6,39.4,Haifa,חיפה,24,89.7,9.6,10436,0.6,76.1,,,59.4,63.9,55.9,"219,583","9,073",48
אילת,Elat,2600,municipality,עירייה,57339,6,1,323.0,South,הדרום,25,76.9,9.8,10762,6.1,64.7,374.9,348.0,41.3,43.0,39.7,"730,993","12,749",67
אלעד,El'ad,1309,municipality,עירייה,49765,2,7,11.6,Center,המרכז,24,28.9,13.2,7744,0,60.1,234.7,231.7,81,84.4,83.7,"274,473","5,515",78
אריאל,Ari'el,3570,municipality,עירייה,21841,6,5,33.3,Yosh,אזור יהודה והשומרון,26,84.8,9.9,11213,3.2,64.9,,,61.6,61.8,58.4,"170,451","7,804",80
אשדוד,Ashdod,70,municipality,עירייה,229173,5,7,28.5,South,הדרום,26,57.7,11.3,10642,0.3,70.1,338.8,316.4,61.6,64.4,57.1,"2,327,593","10,156",87
אשקלון,Ashqelon,7100,municipality,עירייה,161745,5,6,43.7,South,הדרום,28,83.8,10.5,10427,0.4,65.3,368.6,337.3,58.6,61.9,48.1,"1,368,020","8,458",76
באקה אל-גרביה,Baqa AlGharbiyye,6000,municipality,עירייה,30750,4,6,40.6,Haifa,חיפה,27,82.1,10.2,8877,99.9,109.5,276.4,249.8,31.3,47.5,70.5,"219,379","7,134",43
באר יעקב,Beer Yaakov,2530,municipality,עירייה,34601,7,8,9.7,Center,המרכז,26,84.5,11.4,14969,0.4,59.4,,,,77.8,52.3,"315,168","9,109",89
באר שבע,Be'er Sheva,9000,municipality,עירייה,218995,5,5,91.5,South,הדרום,25,82.9,9.5,10723,4.5,70.7,356.8,313.4,56.6,61.3,42.0,"2,466,383","11,262",89
בית שאן,Bet She'an,9200,municipality,עירייה,20249,4,3,99.5,North,הצפון,21,80.5,8.5,9223,1.2,76.7,,,65.2,70.7,71.8,"196,220","9,690",89
בית שמש,Bet Shemesh,2610,municipality,עירייה,167318,2,6,43.2,Jerusalem,ירושלים,26,30.1,10.0,8760,0.1,61.5,274.8,261.0,61.6,66.1,65.8,"894,634","5,347",73
ביתר עילית,Betar Illit,3780,municipality,עירייה,69281,2,5,59.1,Yosh,אזור יהודה והשומרון,25,9.9,12.2,6912,0,65.8,209.2,296.7,77.3,81.3,75.4,"361,434","5,217",78
בני ברק,Bene Beraq,6100,municipality,עירייה,223786,2,10,0,Tel Aviv,תל אביב,27,7.0,13.6,8010,0.1,63.1,264.1,273.1,73.9,76.5,71.8,"1,929,998","8,624",50
בת ים,Bat Yam,6200,municipality,עירייה,131099,5,9,0,Tel Aviv,תל אביב,25,74.1,9.6,9612,1.1,67.9,373.8,359.1,48.6,50.8,37.9,"1,096,382","8,363",57
גבעת שמואל,Giv'at Shemu'el,681,municipality,עירייה,28628,8,10,0.4,Center,המרכז,29,93.8,11.4,17209,0.3,49.0,262.3,296.4,74.6,74.9,54.6,"220,701","7,709",88
גבעתיים,Giv'atayim,6300,municipality,עירייה,58557,9,10,0,Tel Aviv,תל אביב,28,93.1,13.3,18962,0.1,43.8,327.8,328.9,69.3,69.0,45.6,"530,107","9,053",95
דימונה,Dimo,2200,municipality,עירייה,39230,4,2,129.3,South,הדרום,23,81.5,9.8,10758,2.3,86.8,354.8,315.9,56.3,63.6,56.1,"399,828","10,192",62
הוד השרון,Hod HaSharon,9700,municipality,עירייה,65393,9,8,7.0,Center,המרכז,28,89.4,10.6,19711,0.1,49.6,281.7,287.3,74.4,74.4,57.5,"629,983","9,634",94
הרצלייה,Herzliyya,6400,municipality,עירייה,108650,8,8,0,Tel Aviv,תל אביב,28,89.5,10.9,18006,0.3,48.8,327.6,330.3,65.3,65.6,49.4,"1,197,378","11,021",85
חדרה,Hadera,6500,municipality,עירייה,106767,6,6,32.9,Haifa,חיפה,27,74.9,10.9,11209,1.2,68.2,331.3,322.2,59.1,62.7,47.9,"888,969","8,326",77
חולון,Holon,6600,municipality,עירייה,192980,7,9,0,Tel Aviv,תל אביב,27,81.8,11.1,11817,0.3,63.0,350.9,326.9,61,64.1,45.8,"1,746,451","9,050",86
חיפה,Haifa,4000,municipality,עירייה,298311,7,6,79.6,Haifa,חיפה,27,76.9,9.6,12823,13.7,55.9,340.7,353.3,55.1,55.5,43.9,"3,590,464","12,036",72
חריש,Harish,1247,municipality,עירייה,39001,5,5,48.7,Haifa,חיפה,27,64.3,,10625,1.7,87.1,,,,71.4,57.9,"339,166","8,696",75
טבריה,Tiberias,6700,municipality,עירייה,51476,3,3,113.8,North,הצפון,23,69.0,8.6,8453,1.7,64.2,374.6,285.3,55.7,61.7,55.6,"441,151","8,570",75
טייבה,Tayibe,2730,municipality,עירייה,46192,3,6,20.6,Center,המרכז,27,84.4,11.3,8249,99.9,112.3,280.5,235.1,43.4,57.7,78.3,"215,410","4,663",52
טירה,Tire,2720,municipality,עירייה,27227,5,6,13.2,Center,המרכז,26,74.7,9.9,9026,99.8,102.0,276.6,264.2,47.1,62.3,73.8,"142,630","5,239",52
טירת כרמל,Tirat Karmel,2100,municipality,עירייה,31896,6,5,69.7,Haifa,חיפה,25,76.2,8.9,11344,1.0,69.2,,,62.8,68.5,61.9,"322,279","10,104",66
טמרה,Tamra,8900,municipality,עירייה,36252,3,4,93.4,North,הצפון,25,77.5,9.1,8056,99.9,94.2,301.7,226.7,52.4,63.5,83.8,"296,089","8,168",40
יבנה,Yavne,2660,municipality,עירייה,57725,7,7,14.7,Center,המרכז,28,84.6,11.9,13206,0.2,65.3,300.8,304.6,71,75.6,56.1,"508,332","8,806",83
יהוד-מונוסון,YehudMonoson,9400,municipality,עירייה,32072,7,8,2.0,Center,המרכז,27,87.7,11.8,14921,0.2,57.1,318.6,304.8,71.7,74.3,58.1,"260,989","8,138",84
יקנעם עילית,Yoqne'am Illit,240,municipality,עירייה,24909,7,5,67.7,North,הצפון,27,88.2,11.7,14258,0.1,60.8,307.7,346.5,67.2,67.6,60.5,"263,639","10,584",93
